#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         155       -0.36    -0.44929  0.00957151
         156       -0.52   -0.449744  0.00952088
         157       -0.52   -0.450191  0.00947075
         158       -0.44   -0.450127  0.00941103
         159       -0.12    -0.44805  0.00957813
         160       -0.36     -0.4475  0.00953407
         161       -0.28    -0.44646  0.00953144
         162       -0.52   -0.446914  0.00948341
         163       -0.52   -0.447362  0.00943583
         164       -0.44   -0.447317   0.0093784
         165       -0.44   -0.447273  0.00932166
         166       -0.44   -0.447229  0.00926561
         167        -0.6   -0.448144  0.00925518
         168       -0.36   -0.447619  0.00921495
         169        -0.6   -0.448521  0.00920443
         170       -0.68   -0.449882  0.00925045
         171       -0.52   -0.450292  0.00920544
         172       -0.68   -0.451628  0.00924829
         173       -0.36   -0.451098  0.00920998
         174       -0.44   -0.451034  0.00915727
         175       -0.44   -0.450971  0.00910516
         176        -0.6   -0.451818  0.00909272
         177       -0.44   -0.451751  0.00904159
         178       -0.44   -0.451685  0.00899104
         179       -0.68   -0.452961  0.00903083
         180        -0.6   -0.453778  0.00901753
         181       -0.44   -0.453702  0.00896803
         182       -0.36   -0.453187  0.00893352
         183       -0.28    -0.45224  0.00893469
         184       -0.36   -0.451739  0.00890018
         185        -0.6   -0.452541  0.00888808
         186        -0.6   -0.453333  0.00887558
         187       -0.52    -0.45369  0.00883528
         188       -0.68   -0.454894  0.00886991
         189        -0.6   -0.455661  0.00885614
         190       -0.44   -0.455579  0.00880991
         191        -0.6   -0.456335  0.00879618
         192       -0.44    -0.45625  0.00875078
         193       -0.44   -0.456166  0.00870584
         194       -0.36    -0.45567  0.00867506
         195       -0.44    -0.45559  0.00863095
         196        -0.6   -0.456327   0.0086183
         197       -0.28   -0.455431  0.00862091
         198       -0.68   -0.456566  0.00865166
         199       -0.44   -0.456482  0.00860858
         200       -0.28     -0.4556  0.00861064
         201        -0.2   -0.454328   0.0086612
         202       -0.36   -0.453861   0.0086309
         203       -0.44   -0.453793  0.00858865
         204       -0.28   -0.452941   0.0085887
         205       -0.44   -0.452878  0.00854703
         206       -0.36   -0.452427  0.00851743
         207       -0.44   -0.452367  0.00847649
         208       -0.36   -0.451923  0.00844736
         209       -0.52   -0.452249  0.00841322
         210       -0.52   -0.452571  0.00837934
         211       -0.44   -0.452512  0.00833984
         212       -0.36   -0.452075  0.00831191
         213       -0.52   -0.452394  0.00827901
         214       -0.44   -0.452336  0.00824052
         215       -0.36   -0.451907  0.00821338
         216       -0.36   -0.451481  0.00818637
         217       -0.44   -0.451429  0.00814881
         218       -0.52   -0.451743   0.0081175
         219       -0.44   -0.451689  0.00808061
         220        -0.2   -0.450545  0.00812446
         221       -0.36   -0.450136  0.00809803
         222       -0.12   -0.448649  0.00819695
         223       -0.36   -0.448251  0.00816983
         224       -0.36   -0.447857  0.00814285
         225       -0.28   -0.447111  0.00814076
         226       -0.28   -0.446372  0.00813826
         227       -0.44   -0.446344  0.00810245
         228       -0.44   -0.446316  0.00806696
         229        -0.6   -0.446987   0.0080596
         230       -0.44   -0.446957  0.00802462
         231       -0.44   -0.446926  0.00798994
         232       -0.52   -0.447241   0.0079617
         233       -0.28   -0.446524  0.00795982
         234       -0.52   -0.446838    0.007932
         235       -0.52   -0.447149  0.00790435
         236        -0.6   -0.447797  0.00789735
         237       -0.44   -0.447764  0.00786409
         238       -0.36   -0.447395  0.00783969
         239       -0.44   -0.447364  0.00780695
         240       -0.36      -0.447  0.00778291
         241       -0.36   -0.446639  0.00775898
         242       -0.76   -0.447934  0.00783422
         243        -0.6    -0.44856  0.00782694
         244       -0.36   -0.448197  0.00780327
         245       -0.36   -0.447837  0.00777972
         246       -0.44   -0.447805  0.00774816
         247        -0.6   -0.448421  0.00774125
         248       -0.52    -0.44871  0.00771541
         249        -0.6   -0.449317  0.00770832
         250       -0.52     -0.4496  0.00768267
         251       -0.52    -0.44988  0.00765718
         252        -0.6   -0.450476  0.00764993
         253       -0.28   -0.449802  0.00764931
         254       -0.36   -0.449449  0.00762736
         255       -0.36   -0.449098  0.00760551
         256       -0.44   -0.449062  0.00757588
         257       -0.36   -0.448716  0.00755433
         258       -0.52   -0.448992   0.0075301
         259       -0.44   -0.448958  0.00750111
         260       -0.44   -0.448923  0.00747233
         261       -0.36   -0.448582  0.00745147
         262       -0.52   -0.448855  0.00742801
         263       -0.52   -0.449125  0.00740469
         264       -0.52   -0.449394  0.00738151
         265       -0.36   -0.449057  0.00736136
         266       -0.52   -0.449323  0.00733851
         267        -0.6   -0.449888   0.0073327
         268        -0.6   -0.450448   0.0073267
         269       -0.68   -0.451301  0.00734899
         270       -0.52   -0.451556  0.00732617
         271       -0.36   -0.451218  0.00730692
         272       -0.68   -0.452059  0.00732831
         273       -0.28   -0.451429  0.00732852
         274       -0.52   -0.451679  0.00730604
         275       -0.28   -0.451055   0.0073061
         276       -0.44   -0.451014  0.00727974
         277       -0.36   -0.450686  0.00726087
         278       -0.36    -0.45036  0.00724207
         279       -0.52   -0.450609  0.00722042
         280       -0.44   -0.450571  0.00719473
         281       -0.44   -0.450534  0.00716922
         282       -0.68   -0.451348  0.00718983
         283       -0.44   -0.451307  0.00716454
         284       -0.36   -0.450986  0.00714652
         285        -0.2   -0.450105   0.0071755
         286       -0.28    -0.44951  0.00717502
         287       -0.28    -0.44892  0.00717429
         288       -0.52   -0.449167  0.00715362
         289       -0.68   -0.449965  0.00717332
         290       -0.52   -0.450207  0.00715265
         291        -0.6   -0.450722  0.00714657
         292       -0.44   -0.450685  0.00712219
         293       -0.44   -0.450648  0.00709797
         294       -0.28   -0.450068  0.00709752
         295       -0.44   -0.450034  0.00707355
         296       -0.36    -0.44973  0.00705618
         297       -0.28   -0.449158  0.00705553
         298       -0.28   -0.448591  0.00705465
         299       -0.28   -0.448027  0.00705356
         300        -0.2     -0.4472  0.00707833
         301       -0.52   -0.447442  0.00705894
         302       -0.52   -0.447682  0.00703966
         303       -0.68   -0.448449  0.00705806
         304       -0.44   -0.448421  0.00703489
         305        -0.6   -0.448918  0.00702936
         306       -0.44   -0.448889  0.00700645
         307       -0.36   -0.448599  0.00698961
         308       -0.28   -0.448052  0.00698832
         309       -0.44   -0.448026  0.00696575
         310       -0.44      -0.448  0.00694333
         311       -0.44   -0.447974  0.00692105
         312       -0.36   -0.447692  0.00690461
         313        -0.6   -0.448179  0.00689967
         314       -0.28   -0.447643  0.00689846
         315       -0.52   -0.447873  0.00688038
         316       -0.44   -0.447848  0.00685865
         317       -0.52   -0.448076  0.00684079
         318       -0.36   -0.447799  0.00682488
         319        -0.6   -0.448276  0.00682015
         320       -0.52     -0.4485  0.00680252
         321       -0.52   -0.448723  0.00678497
         322       -0.44   -0.448696  0.00676395
         323       -0.44   -0.448669  0.00674307
         324       -0.52   -0.448889  0.00672585
         325       -0.52   -0.449108  0.00670871
         326       -0.52   -0.449325  0.00669165
         327       -0.44   -0.449297  0.00667125
         328       -0.44   -0.449268  0.00665097
         329       -0.36   -0.448997  0.00663629
         330        -0.6   -0.449455  0.00663194
         331        -0.6   -0.449909  0.00662748
         332       -0.68   -0.450602  0.00664365
         333       -0.44   -0.450571  0.00662378
         334       -0.44   -0.450539  0.00660402
         335       -0.52   -0.450746  0.00658756
         336        -0.6    -0.45119  0.00658292
         337       -0.44   -0.451157  0.00656347
         338       -0.44   -0.451124  0.00654413
         339       -0.52   -0.451327  0.00652798
         340       -0.36   -0.451059   0.0065143
         341       -0.44   -0.451026  0.00649528
         342       -0.68   -0.451696   0.0065107
         343        -0.6   -0.452128  0.00650606
         344       -0.28   -0.451628  0.00650636
         345       -0.28    -0.45113  0.00650649
         346       -0.44   -0.451098  0.00648777
         347        -0.2   -0.450375   0.0065093
         348       -0.36   -0.450115  0.00649578
         349       -0.36   -0.449857  0.00648229
         350       -0.44   -0.449829  0.00646383
         351       -0.44   -0.449801  0.00644548
         352       -0.52       -0.45  0.00643025
         353       -0.28   -0.449518  0.00643004
         354       -0.52   -0.449718  0.00641496
         355       -0.36   -0.449465  0.00640187
         356       -0.52   -0.449663  0.00638695
         357       -0.44   -0.449636  0.00636912
         358        -0.6   -0.450056  0.00636516
         359       -0.52   -0.450251  0.00635041
         360       -0.36       -0.45  0.00633772
         361       -0.44   -0.449972  0.00632022
         362       -0.52   -0.450166  0.00630572
         363       -0.52   -0.450358  0.00629129
         364       -0.28    -0.44989  0.00629139
         365       -0.44   -0.449863  0.00627421
         366        -0.2    -0.44918   0.0062941
         367       -0.52   -0.449373   0.0062799
         368       -0.52   -0.449565  0.00626577
         369       -0.52   -0.449756   0.0062517
         370       -0.52   -0.449946  0.00623768
         371        -0.6    -0.45035  0.00623397
         372       -0.28   -0.449892  0.00623401
         373       -0.36   -0.449651  0.00622195
         374       -0.44   -0.449626  0.00620537
         375       -0.52   -0.449813  0.00619166
         376        -0.6   -0.450213  0.00618806
         377       -0.36   -0.449973  0.00617627
         378       -0.68   -0.450582  0.00618984
         379       -0.28   -0.450132  0.00618985
         380       -0.68   -0.450737  0.00620305
         381       -0.52   -0.450919  0.00618943
         382       -0.44    -0.45089  0.00617329
         383       -0.44   -0.450862  0.00615724
         384       -0.28   -0.450417  0.00615726
         385       -0.36   -0.450182  0.00614575
         386       -0.36   -0.449948  0.00613426
         387       -0.52   -0.450129  0.00612108
         388       -0.52   -0.450309  0.00610796
         389       -0.44   -0.450283  0.00609231
         390       -0.44   -0.450256  0.00607675
         391       -0.52   -0.450435  0.00606382
         392       -0.36   -0.450204  0.00605274
         393       -0.52   -0.450382  0.00603994
         394        -0.6   -0.450761  0.00603654
         395       -0.52   -0.450937   0.0060238
         396       -0.44   -0.450909  0.00600865
         397       -0.52   -0.451083  0.00599604
         398       -0.36   -0.450854  0.00598534
         399       -0.68   -0.451429  0.00599783
         400       -0.68      -0.452  0.00600999
         401       -0.68   -0.452569  0.00602184
         402       -0.84   -0.453532  0.00608349
         403        -0.6   -0.453896  0.00607924
         404       -0.44   -0.453861  0.00606429
         405        -0.6   -0.454222  0.00606005
         406       -0.52   -0.454384  0.00604729
         407       -0.52   -0.454545  0.00603458
         408       -0.28   -0.454118  0.00603493
         409       -0.36   -0.453888  0.00602456
         410       -0.44   -0.453854  0.00600996
         411       -0.44    -0.45382  0.00599543
         412       -0.36   -0.453592   0.0059852
         413       -0.36   -0.453366    0.005975
         414        -0.6    -0.45372  0.00597106
         415       -0.44   -0.453687  0.00595676
         416       -0.68   -0.454231  0.00596723
         417       -0.76   -0.454964   0.0059978
         418       -0.52    -0.45512  0.00598547
         419       -0.68   -0.455656   0.0059952
         420        -0.6      -0.456  0.00599077
         421       -0.44   -0.455962  0.00597666
         422       -0.44   -0.455924  0.00596262
         423       -0.52   -0.456076  0.00595045
         424       -0.36   -0.455849  0.00594073
         425        -0.6   -0.456188  0.00593642
         426       -0.36   -0.455962  0.00592678
         427       -0.36   -0.455738  0.00591716
         428        -0.2    -0.45514  0.00593343
         429       -0.36   -0.454918  0.00592374
         430       -0.44   -0.454884  0.00591006
         431       -0.36   -0.454664  0.00590045
         432       -0.28   -0.454259  0.00590063
         433       -0.28   -0.453857  0.00590071
         434       -0.44   -0.453825   0.0058872
         435       -0.52   -0.453977  0.00587563
         436        -0.6   -0.454312  0.00587169
         437        -0.6   -0.454645  0.00586771
         438       -0.36   -0.454429  0.00585829
         439       -0.36   -0.454214   0.0058489
         440        -0.2   -0.453636  0.00586407
         441        -0.6   -0.453968  0.00586016
         442       -0.36   -0.453756  0.00585075
         443       -0.36   -0.453544  0.00584137
         444       -0.36   -0.453333  0.00583201
         445       -0.52   -0.453483  0.00582083
         446       -0.36   -0.453274  0.00581155
         447       -0.28   -0.452886  0.00581147
         448        -0.2   -0.452321  0.00582584
         449       -0.28   -0.451938   0.0058255
         450       -0.28   -0.451556  0.00582507
         451       -0.44    -0.45153  0.00581221
         452       -0.44   -0.451504  0.00579941
         453       -0.36   -0.451302  0.00579012
         454       -0.52   -0.451454  0.00577934
         455       -0.52   -0.451604   0.0057686
         456       -0.44   -0.451579  0.00575601
         457       -0.52   -0.451729  0.00574536
         458       -0.52   -0.451878  0.00573475
         459        -0.6     -0.4522  0.00573133
         460        -0.6   -0.452522  0.00572787
         461       -0.44   -0.452495  0.00571551
         462       -0.36   -0.452294  0.00570664
         463       -0.44   -0.452268  0.00569438
         464       -0.44   -0.452241  0.00568217
         465        -0.6   -0.452559  0.00567883
         466       -0.68   -0.453047  0.00568758
         467       -0.52   -0.453191   0.0056772
         468        -0.6   -0.453504  0.00567373
         469       -0.44   -0.453475  0.00566171
         470       -0.76   -0.454128   0.0056871
         471       -0.52   -0.454268  0.00567674
         472       -0.36   -0.454068  0.00566823
         473       -0.44   -0.454038  0.00565632
         474        -0.6   -0.454346  0.00565277
         475        -0.6   -0.454653  0.00564918
         476        -0.6   -0.454958  0.00564556
         477       -0.44   -0.454927  0.00563381
         478        -0.6    -0.45523  0.00563019
         479        -0.6   -0.455532  0.00562654
         480       -0.68      -0.456  0.00563422
         481       -0.52   -0.456133  0.00562408
         482       -0.44     -0.4561  0.00561251
         483       -0.36   -0.455901  0.00560441
         484       -0.36   -0.455702  0.00559634
         485       -0.36   -0.455505  0.00558828
         486       -0.36   -0.455309  0.00558023
         487       -0.52   -0.455441  0.00557035
         488       -0.44    -0.45541  0.00555903
         489       -0.52   -0.455542  0.00554923
         490       -0.44    -0.45551    0.005538
         491       -0.36   -0.455316  0.00553013
         492       -0.28   -0.454959  0.00553036
         493       -0.44   -0.454929  0.00551923
         494        -0.6   -0.455223  0.00551586
         495        -0.2   -0.454707  0.00552876
         496       -0.44   -0.454677   0.0055177
         497       -0.52   -0.454809  0.00550816
         498        -0.2   -0.454297  0.00552081
         499        -0.6   -0.454589  0.00551746
         500       -0.52    -0.45472  0.00550798
         501       -0.44   -0.454691  0.00549706
         502       -0.36   -0.454502  0.00548935
         503        -0.6   -0.454791  0.00548605
         504       -0.52   -0.454921  0.00547669
         505       -0.68   -0.455366  0.00548395
         506       -0.52   -0.455494   0.0054746
         507       -0.44   -0.455464  0.00546389
         508        -0.6   -0.455748  0.00546054
         509       -0.36    -0.45556  0.00545305
         510       -0.68      -0.456  0.00546009
         511        -0.6   -0.456282  0.00545667
         512       -0.12   -0.455625   0.0054854
         513       -0.52    -0.45575  0.00547614
         514       -0.68   -0.456187  0.00548284
         515       -0.44   -0.456155  0.00547228
         516       -0.52   -0.456279  0.00546307
         517       -0.44   -0.456248   0.0054526
         518       -0.44   -0.456216  0.00544216
         519       -0.28   -0.455877  0.00544226
         520       -0.44   -0.455846  0.00543188
         521       -0.44   -0.455816  0.00542154
         522       -0.36   -0.455632  0.00541426
         523       -0.44   -0.455602  0.00540399
         524       -0.52   -0.455725  0.00539507
         525       -0.68   -0.456152  0.00540168
         526        -0.6   -0.456426  0.00539833
         527        -0.6   -0.456698  0.00539496
         528       -0.52   -0.456818  0.00538607
         529       -0.44   -0.456786  0.00537598
         530       -0.44   -0.456755  0.00536593
         531       -0.28   -0.456422  0.00536614
         532       -0.52   -0.456541  0.00535739
         533       -0.28    -0.45621  0.00535756
         534       -0.44    -0.45618  0.00534762
         535       -0.52   -0.456299  0.00533895
         536       -0.44   -0.456269  0.00532908
         537        -0.2   -0.455791  0.00534048
         538       -0.36   -0.455613  0.00533352
         539       -0.68    -0.45603  0.00533985
         540       -0.36   -0.455852  0.00533292
         541        -0.6   -0.456118  0.00532971
         542       -0.52   -0.456236  0.00532118
         543       -0.28   -0.455912  0.00532127
         544       -0.28   -0.455588  0.00532131
         545       -0.44    -0.45556  0.00531162
         546       -0.52   -0.455678   0.0053032
         547       -0.36   -0.455503  0.00529639
         548       -0.52    -0.45562  0.00528803
         549        -0.6   -0.455883  0.00528494
         550       -0.36   -0.455709   0.0052782
         551       -0.44   -0.455681   0.0052687
         552       -0.28   -0.455362  0.00526876
         553       -0.52   -0.455479  0.00526053
         554       -0.36   -0.455307  0.00525385
         555       -0.52   -0.455423  0.00524568
         556       -0.44   -0.455396  0.00523632
         557       -0.44   -0.455368  0.00522699
         558       -0.52   -0.455484  0.00521891
         559        -0.6   -0.455742  0.00521597
         560       -0.52   -0.455857  0.00520792
         561       -0.44   -0.455829  0.00519871
         562       -0.52   -0.455943  0.00519072
         563       -0.52   -0.456057  0.00518274
         564       -0.44   -0.456028  0.00517363
         565        -0.6   -0.456283  0.00517075
         566       -0.44   -0.456254  0.00516169
         567       -0.28   -0.455944  0.00516194
         568       -0.52   -0.456056  0.00515408
         569       -0.52   -0.456169  0.00514625
         570        -0.6   -0.456421   0.0051434
         571       -0.68   -0.456813  0.00514928
         572       -0.52   -0.456923  0.00514146
         573       -0.44   -0.456894  0.00513257
         574       -0.36   -0.456725  0.00512641
         575       -0.44   -0.456696  0.00511757
         576       -0.44   -0.456667  0.00510877
         577        -0.6   -0.456915  0.00510595
         578       -0.52   -0.457024  0.00509828
         579       -0.52   -0.457133  0.00509064
         580       -0.44   -0.457103  0.00508195
         581       -0.44   -0.457074  0.00507329
         582       -0.44   -0.457045  0.00506465
         583       -0.28   -0.456741  0.00506506
         584       -0.44   -0.456712  0.00505647
         585       -0.36   -0.456547  0.00505053
         586       -0.44   -0.456519  0.00504199
         587       -0.52   -0.456627  0.00503456
         588       -0.68   -0.457007  0.00504031
         589        -0.6    -0.45725   0.0050376
         590       -0.52   -0.457356  0.00503018
         591       -0.36   -0.457191  0.00502437
         592       -0.44   -0.457162  0.00501596
         593       -0.36   -0.456998  0.00501018
         594       -0.36   -0.456835  0.00500441
         595       -0.36   -0.456672  0.00499864
         596        -0.6   -0.456913  0.00499603
         597        -0.2   -0.456482  0.00500617
         598       -0.28   -0.456187  0.00500649
         599       -0.44    -0.45616   0.0049982
         600       -0.44   -0.456133  0.00498994
         601       -0.44   -0.456106  0.00498171
         602        -0.6   -0.456346  0.00497917
         603        -0.6   -0.456584  0.00497661
         604       -0.44   -0.456556  0.00496844
         605       -0.36   -0.456397  0.00496279
         606       -0.44    -0.45637  0.00495468
         607       -0.52   -0.456474  0.00494762
         608       -0.52   -0.456579  0.00494059
         609       -0.52   -0.456683  0.00493357
         610       -0.44   -0.456656  0.00492556
         611       -0.36   -0.456498  0.00492004
         612       -0.52   -0.456601  0.00491309
         613        -0.6   -0.456835  0.00491065
         614        -0.6   -0.457068  0.00490818
         615       -0.36   -0.456911  0.00490274
         616       -0.44   -0.456883  0.00489485
         617       -0.52   -0.456985  0.00488799
         618        -0.6   -0.457217  0.00488556
         619       -0.44   -0.457189  0.00487774
         620       -0.44   -0.457161  0.00486995
         621       -0.36   -0.457005  0.00486462
         622       -0.44   -0.456977  0.00485688
         623       -0.52   -0.457079  0.00485014
         624        -0.6   -0.457308  0.00484777
         625       -0.36   -0.457152  0.00484251
         626       -0.28   -0.456869  0.00484304
         627        -0.6   -0.457097  0.00484069
         628        -0.6   -0.457325  0.00483833
         629       -0.44   -0.457297  0.00483072
         630       -0.28   -0.457016  0.00483124
         631       -0.44   -0.456989  0.00482366
         632       -0.36   -0.456835  0.00481847
         633       -0.36   -0.456682  0.00481328
         634       -0.36    -0.45653   0.0048081
         635        -0.6   -0.456756  0.00480584
         636       -0.68   -0.457107  0.00481108
         637       -0.44    -0.45708  0.00480361
         638       -0.36   -0.456928  0.00479849
         639       -0.44   -0.456901  0.00479105
         640       -0.68    -0.45725  0.00479623
         641       -0.52   -0.457348  0.00478975
         642       -0.52   -0.457445  0.00478328
         643       -0.52   -0.457543  0.00477683
         644       -0.44   -0.457516  0.00476949
         645       -0.52   -0.457612  0.00476308
         646       -0.28   -0.457337  0.00476363
         647       -0.36   -0.457187  0.00475865
         648       -0.36   -0.457037  0.00475367
         649       -0.36   -0.456888  0.00474869
         650        -0.6   -0.457108  0.00474649
         651       -0.68    -0.45745  0.00475153
         652       -0.52   -0.457546  0.00474521
         653        -0.6   -0.457764  0.00474295
         654       -0.36   -0.457615  0.00473806
         655       -0.52    -0.45771  0.00473178
         656       -0.36   -0.457561  0.00472691
         657       -0.68     -0.4579  0.00473183
         658       -0.44   -0.457872  0.00472471
         659       -0.52   -0.457967  0.00471848
         660        -0.6   -0.458182  0.00471624
         661        -0.6   -0.458396  0.00471398
         662        -0.6    -0.45861  0.00471171
         663       -0.36   -0.458462  0.00470695
         664       -0.52   -0.458554  0.00470078
         665        -0.6   -0.458767  0.00469852
         666       -0.36   -0.458619   0.0046938
         667        -0.2   -0.458231  0.00470275
         668       -0.52   -0.458323  0.00469662
         669        -0.6   -0.458535  0.00469437
         670       -0.44   -0.458507  0.00468745
         671       -0.12   -0.458003  0.00470753
         672       -0.28   -0.457738  0.00470797
         673       -0.52   -0.457831  0.00470189
         674       -0.28   -0.457567  0.00470231
         675       -0.52   -0.457659  0.00469625
         676       -0.52   -0.457751  0.00469021
         677       -0.52   -0.457843  0.00468418
         678       -0.28   -0.457581  0.00468461
         679       -0.68   -0.457909  0.00468915
         680       -0.52      -0.458  0.00468314
         681       -0.52   -0.458091  0.00467715
         682       -0.52   -0.458182  0.00467117
         683       -0.44   -0.458155  0.00466441
         684       -0.52   -0.458246  0.00465847
         685        -0.6   -0.458453  0.00465626
         686       -0.44   -0.458426  0.00464955
         687       -0.44   -0.458399  0.00464286
         688        -0.6   -0.458605  0.00464067
         689       -0.52   -0.458694  0.00463479
         690        -0.6   -0.458899   0.0046326
         691       -0.68   -0.459219  0.00463693
         692       -0.44   -0.459191  0.00463031
         693       -0.44   -0.459163  0.00462371
         694       -0.52   -0.459251  0.00461788
         695       -0.28   -0.458993  0.00461843
         696       -0.36   -0.458851  0.00461399
         697       -0.52   -0.458938   0.0046082
         698       -0.36   -0.458797  0.00460378
         699       -0.44    -0.45877  0.00459727
