#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         143   -0.186306   -0.106986  0.00402139
         144   -0.190027   -0.107563   0.0040346
         145   -0.189413   -0.108127  0.00404608
         146   -0.169361   -0.108546  0.00404004
         147    -0.17248   -0.108981   0.0040359
         148   -0.155163   -0.109293  0.00402068
         149   -0.138651    -0.10949  0.00399852
         150   -0.163954   -0.109854  0.00398831
         151   -0.178318   -0.110307  0.00398759
         152   -0.188617   -0.110822   0.0039945
         153   -0.185201   -0.111308  0.00399786
         154   -0.175505   -0.111725  0.00399358
         155   -0.174151   -0.112128  0.00398807
         156   -0.182687    -0.11258  0.00398807
         157   -0.174317   -0.112973  0.00398201
         158   -0.159232   -0.113266  0.00396755
         159   -0.150789   -0.113502  0.00394961
         160   -0.155553   -0.113765  0.00393366
         161   -0.160413   -0.114055  0.00391988
         162   -0.178197   -0.114451  0.00391563
         163   -0.192399   -0.114929   0.0039207
         164   -0.197704   -0.115434  0.00392915
         165   -0.190702    -0.11589  0.00393173
         166   -0.205237   -0.116428  0.00394471
         167   -0.219227   -0.117044  0.00396883
         168   -0.217119   -0.117639  0.00398966
         169   -0.205539   -0.118159  0.00399981
         170   -0.203495   -0.118661  0.00400766
         171   -0.200493    -0.11914  0.00401269
         172   -0.199144   -0.119605  0.00401623
         173     -0.2032   -0.120088  0.00402198
         174   -0.207271   -0.120589  0.00402995
         175   -0.206505    -0.12108  0.00403672
         176   -0.196616   -0.121509  0.00403653
         177   -0.206401   -0.121989  0.00404212
         178   -0.198514   -0.122419  0.00404221
         179   -0.204505   -0.122878  0.00404556
         180   -0.189381   -0.123247  0.00403992
         181   -0.213122   -0.123744    0.004048
         182   -0.222677   -0.124287  0.00406209
         183   -0.215338   -0.124785  0.00407025
         184   -0.214061    -0.12527  0.00407694
         185   -0.219257   -0.125778  0.00408644
         186    -0.21577   -0.126262  0.00409301
         187   -0.208675   -0.126702  0.00409478
         188   -0.200681   -0.127096  0.00409186
         189   -0.193963    -0.12745  0.00408548
         190   -0.210464   -0.127887  0.00408727
         191   -0.204673   -0.128289   0.0040856
         192   -0.194886   -0.128636  0.00407902
         193   -0.198654   -0.128998  0.00407398
         194   -0.189445    -0.12931  0.00406488
         195    -0.21354   -0.129742  0.00406692
         196   -0.225361    -0.13023  0.00407532
         197   -0.244793   -0.130811  0.00409592
         198   -0.251871   -0.131423  0.00412061
         199   -0.254292    -0.13204  0.00414591
         200   -0.235282   -0.132556  0.00415719
         201   -0.238618   -0.133084  0.00416986
         202   -0.260767   -0.133716  0.00419685
         203   -0.263548   -0.134356  0.00422463
         204   -0.250834   -0.134927  0.00424233
         205    -0.25197   -0.135498  0.00425988
         206   -0.238165   -0.135996  0.00426826
         207    -0.22886   -0.136445  0.00427115
         208   -0.240423   -0.136944  0.00427977
         209   -0.251292   -0.137492  0.00429412
         210   -0.174454   -0.137668  0.00427728
         211   -0.223915   -0.138076  0.00427649
         212   -0.223617    -0.13848  0.00427532
         213   -0.215613   -0.138842  0.00427055
