#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -7.52654    -7.64099   0.0161978
         153    -7.52754    -7.64025   0.0161089
         154    -7.52406     -7.6395    0.016022
         155    -7.54519    -7.63889   0.0159302
         156    -7.49117    -7.63794   0.0158562
         157    -7.53534    -7.63729   0.0157686
         158    -7.47545    -7.63627   0.0157021
         159    -7.48261     -7.6353    0.015633
         160    -7.48112    -7.63434    0.015565
         161    -7.39981    -7.63288   0.0155363
         162    -7.42455    -7.63159   0.0154935
         163     -7.4186    -7.63029   0.0154535
         164    -7.48458     -7.6294   0.0153848
         165    -7.54546    -7.62889      0.0153
         166    -7.48945    -7.62805   0.0152308
         167    -7.52424    -7.62743   0.0151523
         168    -7.50906    -7.62672   0.0150785
         169    -7.53517    -7.62618    0.014999
         170    -7.45297    -7.62516   0.0149453
         171    -7.45369    -7.62416   0.0148915
         172    -7.44058    -7.62309   0.0148432
         173    -7.44264    -7.62205    0.014794
         174    -7.56018    -7.62169   0.0147132
         175    -7.60062    -7.62157   0.0146296
         176    -7.48347    -7.62079   0.0145675
         177    -7.51752     -7.6202   0.0144969
         178    -7.44368    -7.61921   0.0144493
         179    -7.48477    -7.61846   0.0143881
         180    -7.57734    -7.61823     0.01431
         181    -7.62761    -7.61829    0.014231
         182    -7.57625    -7.61805   0.0141547
         183    -7.48374    -7.61732   0.0140964
         184     -7.5261    -7.61682   0.0140285
         185    -7.46769    -7.61602   0.0139758
         186    -7.42077    -7.61497     0.01394
         187    -7.42976    -7.61398   0.0139006
         188     -7.4004    -7.61284    0.013873
         189    -7.42241    -7.61183   0.0138362
         190     -7.5861     -7.6117    0.013764
         191    -7.59889    -7.61163   0.0136921
         192    -7.63343    -7.61175   0.0136213
         193    -7.61337    -7.61175   0.0135507
         194    -7.63523    -7.61188   0.0134814
         195    -7.60559    -7.61184   0.0134123
         196    -7.60992    -7.61183   0.0133439
         197    -7.57886    -7.61167   0.0132772
         198    -7.57395    -7.61148   0.0132115
         199    -7.57193    -7.61128   0.0131466
         200    -7.49179    -7.61068   0.0130944
         201    -7.53263    -7.61029    0.013035
         202    -7.48057    -7.60965   0.0129863
         203    -7.46037    -7.60891   0.0129431
         204    -7.38493    -7.60782   0.0129262
         205    -7.42611    -7.60693   0.0128935
         206    -7.38406    -7.60585   0.0128762
         207    -7.40428    -7.60487   0.0128508
         208    -7.51889    -7.60446   0.0127956
         209    -7.57307    -7.60431   0.0127353
         210    -7.53202    -7.60397   0.0126793
         211    -7.55832    -7.60375   0.0126211
         212    -7.57372    -7.60361   0.0125623
         213    -7.63456    -7.60375   0.0125042
         214     -7.6288    -7.60387   0.0124463
         215    -7.58709    -7.60379   0.0123886
         216    -7.49673     -7.6033   0.0123412
         217    -7.51798     -7.6029   0.0122906
         218    -7.46373    -7.60226   0.0122508
         219    -7.47483    -7.60168   0.0122087
         220    -7.62838     -7.6018   0.0121538
         221    -7.62122    -7.60189   0.0120991
         222    -7.65918    -7.60215   0.0120473
         223    -7.64294    -7.60233   0.0119947
         224    -7.55339    -7.60211   0.0119431
         225    -7.58633    -7.60204   0.0118903
         226    -7.56165    -7.60187    0.011839
         227    -7.53243    -7.60156   0.0117908
         228    -7.55204    -7.60134   0.0117411
         229    -7.48011    -7.60081   0.0117017
         230     -7.5387    -7.60054    0.011654
         231    -7.53039    -7.60024   0.0116075
         232    -7.49212    -7.59977   0.0115668
         233    -7.58484    -7.59971   0.0115173
         234    -7.50476     -7.5993   0.0114753
         235    -7.61141    -7.59936   0.0114265
         236    -7.60541    -7.59938   0.0113782
         237    -7.61338    -7.59944   0.0113303
         238    -7.65174    -7.59966   0.0112848
         239    -7.61684    -7.59973   0.0112378
         240    -7.56046    -7.59957   0.0111922
         241    -7.57381    -7.59946   0.0111463
         242    -7.56612    -7.59932   0.0111011
         243    -7.56232    -7.59917   0.0110564
         244    -7.51405    -7.59882   0.0110166
         245    -7.51745    -7.59849   0.0109767
         246    -7.48922    -7.59805    0.010941
         247    -7.50115    -7.59765   0.0109038
         248    -7.49904    -7.59726    0.010867
         249    -7.47978    -7.59678   0.0108336
         250    -7.47516     -7.5963   0.0108012
         251    -7.52812    -7.59603   0.0107616
         252    -7.54124    -7.59581   0.0107211
         253    -7.47148    -7.59532     0.01069
         254    -7.51856    -7.59501   0.0106522
         255     -7.4314    -7.59437   0.0106297
         256    -7.35996    -7.59346   0.0106275
         257    -7.41779    -7.59277   0.0106081
         258    -7.37489    -7.59193   0.0106006
         259     -7.4168    -7.59125   0.0105812
         260    -7.35546    -7.59035   0.0105793
         261    -7.40651    -7.58964   0.0105622
         262    -7.43581    -7.58906   0.0105382
         263    -7.40724    -7.58836   0.0105208
         264    -7.35554    -7.58748   0.0105178
         265    -7.43539    -7.58691   0.0104938
         266    -7.42481     -7.5863    0.010472
         267    -7.48938    -7.58594   0.0104391
         268    -7.44709    -7.58542    0.010413
         269    -7.52105    -7.58518    0.010377
         270    -7.52223    -7.58494   0.0103412
         271    -7.50062    -7.58463   0.0103077
         272    -7.50241    -7.58433   0.0102742
         273    -7.41235     -7.5837   0.0102559
         274    -7.48578    -7.58334   0.0102247
         275    -7.47237    -7.58294   0.0101955
         276    -7.47707    -7.58256   0.0101657
         277    -7.47238    -7.58216   0.0101368
         278    -7.43258    -7.58162   0.0101146
         279    -7.51312    -7.58138   0.0100814
         280    -7.54254    -7.58124   0.0100463
         281    -7.47463    -7.58086   0.0100177
         282    -7.53529     -7.5807  0.00998349
         283    -7.45335    -7.58025  0.00995835
         284    -7.43507    -7.57973   0.0099364
         285    -7.53797    -7.57959  0.00990261
         286    -7.53986    -7.57945  0.00986896
         287    -7.58533    -7.57947   0.0098346
         288     -7.6007    -7.57954  0.00980073
         289    -7.59317    -7.57959  0.00976693
         290    -7.61759    -7.57972  0.00973413
         291    -7.62551    -7.57988  0.00970195
         292    -7.70529    -7.58031  0.00967822
         293    -7.68005    -7.58065  0.00965118
         294    -7.67121    -7.58096  0.00962326
         295    -7.64213    -7.58116  0.00959288
         296    -7.61867    -7.58129   0.0095613
         297    -7.60359    -7.58137  0.00952941
         298    -7.58848    -7.58139  0.00949746
         299     -7.6415    -7.58159  0.00946782
         300     -7.6488    -7.58182  0.00943891
         301    -7.63666      -7.582  0.00940931
         302     -7.5933    -7.58203  0.00937823
         303    -7.65027    -7.58226  0.00934998
         304    -7.68009    -7.58258  0.00932476
         305    -7.68835    -7.58293  0.00930064
         306    -7.69361    -7.58329  0.00927727
         307    -7.75972    -7.58386  0.00926483
         308    -7.69345    -7.58422  0.00924158
         309    -7.59308    -7.58425  0.00921172
         310    -7.58928    -7.58427  0.00918202
         311    -7.62463     -7.5844  0.00915341
         312       -7.67    -7.58467  0.00912819
         313     -7.7075    -7.58506  0.00910745
         314     -7.7314    -7.58553  0.00909037
         315    -7.70696    -7.58591  0.00906968
         316    -7.62797    -7.58605  0.00904195
         317      -7.663    -7.58629  0.00901669
         318    -7.62172     -7.5864  0.00898902
         319    -7.58564     -7.5864  0.00896084
         320    -7.51259    -7.58617  0.00893581
         321    -7.49312    -7.58588  0.00891267
         322    -7.51923    -7.58567   0.0088874
         323     -7.5039    -7.58542  0.00886348
         324    -7.52155    -7.58522  0.00883832
         325    -7.58989    -7.58524  0.00881114
         326      -7.529    -7.58506   0.0087858
         327    -7.56309      -7.585  0.00875919
         328    -7.46477    -7.58463  0.00874015
         329    -7.51407    -7.58441  0.00871621
         330     -7.4536    -7.58402  0.00869881
         331    -7.51627    -7.58381  0.00867494
         332    -7.52746    -7.58364  0.00865047
         333    -7.54606    -7.58353  0.00862523
         334    -7.56575    -7.58348  0.00859957
         335    -7.57821    -7.58346  0.00857391
         336    -7.61964    -7.58357  0.00854907
         337    -7.57344    -7.58354  0.00852375
         338    -7.56645    -7.58349  0.00849869
         339    -7.60314    -7.58355  0.00847381
         340     -7.5745    -7.58352  0.00844893
         341    -7.57701     -7.5835  0.00842418
         342    -7.52209    -7.58332  0.00840146
         343    -7.48808    -7.58304  0.00838155
         344    -7.48266    -7.58275  0.00836227
         345    -7.53054     -7.5826   0.0083394
         346    -7.60625    -7.58267  0.00831557
         347    -7.64408    -7.58285  0.00829349
         348     -7.6535    -7.58305  0.00827215
         349    -7.62387    -7.58317  0.00824927
         350    -7.55592    -7.58309  0.00822607
         351    -7.60531    -7.58315  0.00820288
         352    -7.60269    -7.58321  0.00817976
         353    -7.55235    -7.58312  0.00815706
         354    -7.60806    -7.58319  0.00813432
         355    -7.58883    -7.58321  0.00811142
         356    -7.52467    -7.58304   0.0080903
         357    -7.61295    -7.58313  0.00806807
         358     -7.6047    -7.58319  0.00804576
         359    -7.51563      -7.583  0.00802555
         360    -7.56057    -7.58294   0.0080035
         361    -7.60112    -7.58299  0.00798149
         362    -7.54045    -7.58287   0.0079603
         363     -7.5627    -7.58281  0.00793857
         364    -7.58336    -7.58281  0.00791676
         365     -7.5368    -7.58269  0.00789607
         366    -7.53411    -7.58256  0.00787561
         367    -7.52833    -7.58241  0.00785554
         368    -7.57103    -7.58238  0.00783425
         369    -7.47629    -7.58209   0.0078183
         370    -7.39744    -7.58159  0.00781308
         371    -7.39002    -7.58107  0.00780906
         372    -7.53806    -7.58096  0.00778893
         373    -7.54344    -7.58086  0.00776869
         374    -7.58786    -7.58088  0.00774794
         375    -7.56687    -7.58084  0.00772737
         376    -7.60333     -7.5809  0.00770705
         377    -7.55181    -7.58082    0.007687
         378    -7.53259    -7.58069  0.00766772
         379    -7.53698    -7.58058  0.00764836
         380    -7.50729    -7.58039  0.00763066
         381    -7.51581    -7.58022  0.00761251
         382    -7.48223    -7.57996  0.00759691
         383     -7.5167    -7.57979  0.00757887
         384     -7.4906    -7.57956  0.00756269
         385    -7.52768    -7.57943  0.00754425
         386    -7.51501    -7.57926  0.00752655
         387     -7.5313    -7.57914  0.00750812
         388    -7.46781    -7.57885  0.00749425
         389    -7.48437    -7.57861  0.00747892
         390    -7.50509    -7.57842  0.00746212
         391    -7.48915    -7.57819  0.00744652
         392     -7.5355    -7.57808  0.00742832
         393    -7.49682    -7.57787   0.0074123
         394      -7.499    -7.57767  0.00739619
         395    -7.47343    -7.57741  0.00738217
         396    -7.53935    -7.57731  0.00736415
         397    -7.53495    -7.57721  0.00734638
         398    -7.53029    -7.57709  0.00732887
         399    -7.56198    -7.57705  0.00731059
         400    -7.53012    -7.57693  0.00729326
         401    -7.50052    -7.57674  0.00727756
         402    -7.38819    -7.57627  0.00727456
         403    -7.38538     -7.5758  0.00727191
         404    -7.40061    -7.57537  0.00726683
         405    -7.42353    -7.57499  0.00725855
         406    -7.37505     -7.5745  0.00725736
         407    -7.45149     -7.5742  0.00724582
         408    -7.51669    -7.57406  0.00722943
         409    -7.58444    -7.57408   0.0072118
         410    -7.54602    -7.57401  0.00719454
         411    -7.46757    -7.57375  0.00718169
         412    -7.49318    -7.57356  0.00716692
         413    -7.55951    -7.57353  0.00714965
         414    -7.43492    -7.57319  0.00714021
         415    -7.47292    -7.57295   0.0071271
         416    -7.46682    -7.57269  0.00711453
         417    -7.39245    -7.57226  0.00711059
         418    -7.35047    -7.57173  0.00711334
         419    -7.32184    -7.57113  0.00712132
         420    -7.28664    -7.57046  0.00713651
         421    -7.34585    -7.56992  0.00713947
         422     -7.3874    -7.56949  0.00713564
         423     -7.3047    -7.56887  0.00714618
         424    -7.38129    -7.56842    0.007143
         425    -7.41077    -7.56805  0.00713582
         426    -7.35235    -7.56755  0.00713701
         427     -7.3984    -7.56715  0.00713128
         428    -7.41166    -7.56679  0.00712387
         429    -7.40863    -7.56642   0.0071168
         430    -7.48068    -7.56622  0.00710304
         431    -7.42505    -7.56589  0.00709411
         432    -7.43095    -7.56558  0.00708456
         433    -7.41127    -7.56522  0.00707715
         434    -7.46562    -7.56499  0.00706457
         435      -7.518    -7.56488  0.00704915
         436    -7.54872    -7.56485  0.00703308
         437    -7.42374    -7.56452   0.0070244
         438    -7.49071    -7.56436  0.00701038
         439    -7.45831    -7.56411  0.00699857
         440    -7.44912    -7.56385  0.00698754
         441    -7.38672    -7.56345  0.00698323
         442    -7.35029    -7.56297  0.00698407
         443     -7.3988     -7.5626  0.00697813
         444    -7.42114    -7.56228  0.00696968
         445    -7.43782      -7.562  0.00695963
         446    -7.46402    -7.56178  0.00694749
         447    -7.45494    -7.56154  0.00693606
         448    -7.44147    -7.56127  0.00692575
         449    -7.44366    -7.56101  0.00691528
         450    -7.46662     -7.5608  0.00690309
         451    -7.46797     -7.5606  0.00689085
         452    -7.39449    -7.56023   0.0068854
         453    -7.38092    -7.55983  0.00688157
         454    -7.35874    -7.55939  0.00688065
         455    -7.33303    -7.55889  0.00688349
         456    -7.32865    -7.55839  0.00688689
         457    -7.27236    -7.55776   0.0069002
         458    -7.30109     -7.5572  0.00690786
         459    -7.37011    -7.55679  0.00690482
         460    -7.43577    -7.55653  0.00689482
         461    -7.47502    -7.55635  0.00688213
         462    -7.45282    -7.55613  0.00687088
         463    -7.45694    -7.55591  0.00685938
         464     -7.4605    -7.55571  0.00684768
         465    -7.46284    -7.55551  0.00683587
         466    -7.56435    -7.55553  0.00682122
         467     -7.5857    -7.55559  0.00680692
         468    -7.64791    -7.55579  0.00679523
         469    -7.65241      -7.556  0.00678387
         470    -7.56379    -7.55601  0.00676945
         471    -7.57586    -7.55606  0.00675521
         472    -7.63109    -7.55621  0.00674277
         473    -7.61287    -7.55633  0.00672958
         474    -7.62717    -7.55648  0.00671704
         475    -7.64771    -7.55668  0.00670565
         476    -7.67767    -7.55693  0.00669637
         477    -7.66725    -7.55716  0.00668633
         478    -7.60933    -7.55727  0.00667323
         479    -7.63119    -7.55742  0.00666108
         480    -7.62668    -7.55757  0.00664877
         481    -7.62057     -7.5577  0.00663624
         482    -7.62799    -7.55785  0.00662407
         483    -7.60734    -7.55795  0.00661115
         484    -7.53962    -7.55791   0.0065976
         485    -7.50129    -7.55779  0.00658503
         486    -7.49301    -7.55766  0.00657283
         487    -7.44534    -7.55743  0.00656338
         488    -7.44688     -7.5572  0.00655383
         489    -7.49873    -7.55708  0.00654152
         490    -7.55091    -7.55707  0.00652818
         491    -7.56298    -7.55708   0.0065149
         492    -7.56757     -7.5571  0.00650169
         493    -7.51881    -7.55703  0.00648897
         494    -7.51456    -7.55694   0.0064764
         495    -7.47137    -7.55677  0.00646563
         496    -7.50672    -7.55667  0.00645338
         497    -7.57489     -7.5567   0.0064405
         498    -7.49459    -7.55658  0.00642877
         499    -7.49707    -7.55646  0.00641699
         500    -7.51389    -7.55637  0.00640473
         501    -7.45895    -7.55618  0.00639489
         502    -7.51268    -7.55609  0.00638274
         503    -7.53088    -7.55604  0.00637025
         504    -7.48124    -7.55589  0.00635934
         505    -7.38231    -7.55555  0.00635603
         506     -7.4237    -7.55529  0.00634881
         507    -7.44816    -7.55508   0.0063398
         508    -7.49922    -7.55497  0.00632827
         509    -7.55663    -7.55497  0.00631584
         510    -7.53674    -7.55494  0.00630356
         511    -7.49318    -7.55482  0.00629238
         512    -7.41564    -7.55454  0.00628596
         513    -7.46182    -7.55436   0.0062763
         514    -7.42907    -7.55412  0.00626883
         515    -7.41476    -7.55385  0.00626249
         516    -7.46873    -7.55368  0.00625253
         517      -7.464    -7.55351  0.00624284
         518    -7.54046    -7.55348  0.00623084
         519    -7.52254    -7.55343  0.00621912
         520    -7.57581    -7.55347  0.00620731
         521    -7.55038    -7.55346   0.0061954
         522    -7.54101    -7.55344  0.00618357
         523    -7.53807    -7.55341  0.00617182
         524    -7.58614    -7.55347  0.00616036
         525    -7.59514    -7.55355  0.00614913
         526    -7.55114    -7.55355  0.00613745
         527    -7.54141    -7.55352  0.00612584
         528    -7.63396    -7.55368  0.00611614
         529    -7.69325    -7.55394  0.00611026
         530    -7.71783    -7.55425  0.00610655
         531    -7.67461    -7.55448  0.00609926
         532    -7.60781    -7.55458  0.00608862
         533    -7.54461    -7.55456  0.00607722
         534    -7.52025    -7.55449  0.00606618
         535    -7.48225    -7.55436  0.00605635
         536    -7.46106    -7.55418  0.00604755
         537    -7.45224    -7.55399  0.00603926
         538    -7.47921    -7.55385  0.00602964
         539    -7.50558    -7.55377  0.00601912
         540    -7.53267    -7.55373   0.0060081
         541     -7.5167    -7.55366  0.00599738
         542    -7.43668    -7.55344   0.0059902
         543    -7.50652    -7.55336  0.00597979
         544    -7.46029    -7.55318  0.00597124
         545    -7.41648    -7.55293  0.00596555
         546    -7.42542     -7.5527   0.0059592
         547    -7.47297    -7.55255  0.00595009
         548    -7.49377    -7.55245  0.00594019
         549    -7.48867    -7.55233  0.00593051
         550    -7.43973    -7.55213  0.00592326
         551    -7.44202    -7.55193  0.00591588
         552    -7.45701    -7.55175  0.00590766
         553    -7.52488    -7.55171  0.00589718
         554    -7.54353    -7.55169  0.00588655
         555    -7.58122    -7.55174  0.00587619
         556    -7.52875     -7.5517  0.00586576
         557    -7.51222    -7.55163  0.00585566
         558    -7.55718    -7.55164  0.00584517
         559    -7.51258    -7.55157  0.00583514
         560    -7.56202    -7.55159  0.00582475
         561    -7.59069    -7.55166  0.00581478
         562    -7.50732    -7.55158  0.00580497
         563      -7.499    -7.55149  0.00579541
         564    -7.41202    -7.55124  0.00579041
         565    -7.44149    -7.55105  0.00578342
         566    -7.44563    -7.55086   0.0057762
         567    -7.49627    -7.55076  0.00576681
         568    -7.52477    -7.55072  0.00575684
         569    -7.47687    -7.55059  0.00574818
         570    -7.57447    -7.55063  0.00573825
         571     -7.5122    -7.55056   0.0057286
         572    -7.55899    -7.55058   0.0057186
         573    -7.54766    -7.55057  0.00570862
         574     -7.5629    -7.55059  0.00569872
         575    -7.62875    -7.55073  0.00569043
         576    -7.52857    -7.55069  0.00568068
