#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         153    -5.48982     -5.6497   0.0202219
         154    -5.43229    -5.64829   0.0201398
         155    -5.45907    -5.64707   0.0200468
         156    -5.39006    -5.64542   0.0199859
         157    -5.36882    -5.64366   0.0199361
         158    -5.48668    -5.64266   0.0198346
         159    -5.40797    -5.64119   0.0197647
         160    -5.29404    -5.63902   0.0197599
         161     -5.2725    -5.63674   0.0197679
         162    -5.33326    -5.63487   0.0197344
         163    -5.33648    -5.63304   0.0196981
         164    -5.38545    -5.63153   0.0196357
         165    -5.35637    -5.62986   0.0195874
         166    -5.41246    -5.62855   0.0195132
         167    -5.34847    -5.62687   0.0194683
         168    -5.35915    -5.62528   0.0194175
         169    -5.40647    -5.62399   0.0193457
         170    -5.25112    -5.62179   0.0193559
         171     -5.2975     -5.6199   0.0193353
         172    -5.32765     -5.6182   0.0192974
         173     -5.3921    -5.61689   0.0192301
         174    -5.41453    -5.61573   0.0191547
         175    -5.40921    -5.61455   0.0190816
         176    -5.23135    -5.61237    0.019097
         177    -5.23559    -5.61024   0.0191074
         178     -5.2585    -5.60827   0.0191019
         179    -5.27573    -5.60641   0.0190853
         180    -5.32631    -5.60485   0.0190426
         181    -5.36917    -5.60355   0.0189819
         182     -5.4224    -5.60255   0.0189037
         183    -5.35833    -5.60122   0.0188474
         184    -5.40884    -5.60017    0.018774
         185    -5.39986    -5.59909   0.0187037
         186    -5.40107    -5.59803   0.0186334
         187    -5.44849    -5.59723   0.0185509
         188    -5.38504     -5.5961   0.0184865
         189    -5.43686    -5.59526   0.0184079
         190    -5.49897    -5.59475    0.018318
         191     -5.5232    -5.59437   0.0182259
         192    -5.54784    -5.59413   0.0181326
         193    -5.47857    -5.59353   0.0180485
         194    -5.47962    -5.59295   0.0179651
         195    -5.45814    -5.59225   0.0178862
         196    -5.46926    -5.59163    0.017806
         197    -5.45646    -5.59094   0.0177288
         198    -5.48092    -5.59039    0.017648
         199    -5.41651    -5.58951   0.0175809
         200    -5.42128    -5.58867   0.0175131
         201    -5.50993    -5.58828   0.0174304
         202    -5.49349    -5.58781   0.0173504
         203    -5.56737    -5.58771   0.0172652
         204    -5.45011    -5.58703   0.0171937
         205      -5.442    -5.58633   0.0171244
         206     -5.4457    -5.58564   0.0170549
         207    -5.47184    -5.58509   0.0169814
         208    -5.40089    -5.58421   0.0169228
         209    -5.43379    -5.58349   0.0168571
         210    -5.43084    -5.58276   0.0167925
         211    -5.38791    -5.58184   0.0167383
         212    -5.42436     -5.5811   0.0166758
         213    -5.35462    -5.58003   0.0166314
         214     -5.3941    -5.57916   0.0165764
         215    -5.40217    -5.57834   0.0165197
         216    -5.36843    -5.57737   0.0164718
         217    -5.42155    -5.57665   0.0164115
         218    -5.51237    -5.57636   0.0163389
         219    -5.52353    -5.57611    0.016266
         220    -5.55805    -5.57603   0.0161923
         221    -5.60851    -5.57618   0.0161197
         222     -5.6512    -5.57652   0.0160506
         223    -5.61866    -5.57671   0.0159798
         224    -5.51327    -5.57642    0.015911
         225    -5.52706     -5.5762   0.0158418
         226    -5.48782    -5.57581   0.0157765
         227    -5.51473    -5.57554   0.0157093
         228    -5.50438    -5.57523   0.0156435
         229    -5.57817    -5.57524   0.0155752
         230    -5.52644    -5.57503   0.0155089
         231    -5.46799    -5.57457   0.0154487
         232    -5.57146    -5.57456   0.0153821
         233    -5.52157    -5.57433   0.0153178
         234    -5.52386    -5.57411   0.0152538
         235    -5.44727    -5.57357   0.0151985
         236    -5.51615    -5.57333    0.015136
         237    -5.52282    -5.57312   0.0150736
         238    -5.47765    -5.57271   0.0150156
         239    -5.45202    -5.57221   0.0149613
         240    -5.39285    -5.57146   0.0149176
         241    -5.51593    -5.57123   0.0148575
         242    -5.41861     -5.5706   0.0148095
         243    -5.40797    -5.56993   0.0147637
         244    -5.42298    -5.56933   0.0147154
         245    -5.47059    -5.56893   0.0146609
         246    -5.56991    -5.56893   0.0146013
         247    -5.40295    -5.56826   0.0145576
         248    -5.43293    -5.56771   0.0145091
         249    -5.42995    -5.56716   0.0144614
         250    -5.34032    -5.56625    0.014432
         251    -5.30183     -5.5652   0.0144129
         252    -5.43967     -5.5647   0.0143643
         253    -5.50002    -5.56445   0.0143098
         254    -5.50303     -5.5642   0.0142555
         255    -5.45916    -5.56379   0.0142056
         256    -5.50641    -5.56357   0.0141519
         257    -5.53943    -5.56347   0.0140971
         258    -5.69646    -5.56399   0.0140519
         259    -5.61169    -5.56417   0.0139988
         260    -5.62879    -5.56442   0.0139472
         261    -5.55211    -5.56437   0.0138938
         262     -5.4962    -5.56411   0.0138432
         263    -5.57961    -5.56417   0.0137907
         264    -5.59295    -5.56428   0.0137389
         265    -5.51079    -5.56408   0.0136886
         266    -5.48696    -5.56379   0.0136402
         267    -5.46431    -5.56342   0.0135942
         268    -5.35205    -5.56263   0.0135663
         269     -5.4191     -5.5621   0.0135264
         270    -5.45956    -5.56172   0.0134816
         271    -5.52898     -5.5616   0.0134324
         272    -5.63574    -5.56187   0.0133858
         273    -5.59375    -5.56198   0.0133372
         274    -5.59062    -5.56209    0.013289
         275    -5.57352    -5.56213   0.0132407
         276    -5.58626    -5.56222    0.013193
         277    -5.52808    -5.56209    0.013146
         278    -5.46595    -5.56175   0.0131032
         279    -5.43546     -5.5613   0.0130641
         280    -5.41308    -5.56077   0.0130282
         281    -5.41625    -5.56025   0.0129919
         282     -5.4173    -5.55975   0.0129558
         283    -5.40288    -5.55919   0.0129218
         284    -5.44775     -5.5588   0.0128823
         285    -5.46873    -5.55848    0.012841
         286    -5.47995    -5.55821    0.012799
         287    -5.41393    -5.55771   0.0127643
         288    -5.34168    -5.55696    0.012742
         289    -5.35944    -5.55627   0.0127162
         290    -5.37767    -5.55566   0.0126873
         291    -5.40491    -5.55514   0.0126542
         292    -5.49965    -5.55495   0.0126123
         293    -5.56274    -5.55497   0.0125693
         294    -5.56255      -5.555   0.0125266
         295    -5.59837    -5.55515    0.012485
         296    -5.53643    -5.55508    0.012443
         297    -5.57108    -5.55514   0.0124012
         298    -5.59925    -5.55529   0.0123604
         299    -5.60212    -5.55544   0.0123201
         300    -5.64949    -5.55576    0.012283
         301    -5.60459    -5.55592   0.0122433
         302    -5.57244    -5.55597   0.0122029
         303    -5.72398    -5.55653   0.0121752
         304    -5.65989    -5.55687   0.0121399
         305    -5.63491    -5.55712   0.0121028
         306    -5.67839    -5.55752   0.0120697
         307    -5.70903    -5.55801   0.0120405
         308    -5.63871    -5.55828   0.0120042
