Step,Mu,Sigma,Hamiltonian,Error
135,0.408961,0.853137,-0.00553846,0.0230879
136,0.408961,0.853137,-0.0223799,0.02569
137,0.49006,0.904332,-0.0793923,0.0280961
138,0.432855,0.928126,-0.0581629,0.0217138
139,0.432855,0.928126,-0.00583224,0.0399402
140,0.500451,0.926036,-0.0845016,0.021585
141,0.556944,0.984522,-0.0350344,0.0510368
142,0.60703,0.89446,-0.155281,0.0302115
143,0.58778,0.802342,-0.132045,0.0262231
144,0.675217,0.845752,-0.166356,0.0419402
145,0.71346,0.810782,-0.19747,0.0521583
146,0.654669,0.807126,-0.23994,0.0215944
147,0.645265,0.784658,-0.175247,0.0348186
148,0.721837,0.749449,-0.311151,0.0236049
149,0.728666,0.661437,-0.390387,0.0103536
150,0.645946,0.606393,-0.308469,0.0101185
151,0.584267,0.544002,-0.172694,0.0123788
152,0.663424,0.601435,-0.3135,0.00847308
153,0.759889,0.537247,-0.284745,0.00974728
154,0.8223,0.55722,-0.320185,0.00922864
155,0.8223,0.55722,-0.326602,0.00846155
156,0.911779,0.527771,-0.198007,0.0099059
157,0.911779,0.527771,-0.152191,0.0127866
158,0.922056,0.550408,-0.192488,0.0228454
159,0.960497,0.539774,-0.167962,0.0128739
160,0.973054,0.597874,-0.214771,0.0348627
161,0.973054,0.597874,-0.252298,0.0210114
162,0.972266,0.65986,-0.163591,0.0431543
163,0.972266,0.65986,-0.236664,0.0465424
164,0.930108,0.596303,-0.295182,0.0163871
165,0.997351,0.596219,-0.178039,0.0295743
166,1.0317,0.607994,-0.140189,0.027802
167,1.01255,0.56926,-0.126175,0.0240726
168,1.01083,0.471879,0.1162,0.0139466
169,0.920913,0.435547,0.282992,0.0158449
170,0.865005,0.461446,0.0609976,0.0138896
171,0.915747,0.424218,0.313916,0.0185563
172,0.82912,0.462145,0.0560897,0.0153806
173,0.80745,0.495352,-0.135625,0.0123433
174,0.765909,0.567941,-0.358164,0.0105017
175,0.765909,0.567941,-0.331886,0.0181855
176,0.804423,0.511553,-0.211842,0.00995452
177,0.804423,0.511553,-0.203425,0.00916136
178,0.832968,0.486057,-0.0678152,0.0152969
179,0.832968,0.486057,-0.0626757,0.0144945
180,0.85655,0.445405,0.14965,0.0161067
181,0.85655,0.445405,0.163524,0.014862
182,0.955225,0.48628,0.0118803,0.0114062
183,0.955225,0.48628,0.00258411,0.011263
184,0.930031,0.550526,-0.195029,0.0119665
185,0.854995,0.582726,-0.336397,0.0147713
186,0.934503,0.613213,-0.278588,0.0188839
187,0.934503,0.613213,-0.282146,0.0209664
188,1.00559,0.699938,-0.0991168,0.0655276
189,0.979283,0.678933,-0.261889,0.0277722
190,0.95215,0.649226,-0.259336,0.0306744
191,0.856584,0.736299,-0.335437,0.021426
192,0.911009,0.718248,-0.283805,0.0341405
193,0.911009,0.718248,-0.28506,0.0403372
194,0.911009,0.718248,-0.313114,0.0294977
195,0.931037,0.741839,-0.193663,0.0434203
196,0.955206,0.694715,-0.136383,0.0580976
197,0.861151,0.67403,-0.38216,0.0214495
198,0.770089,0.643832,-0.380867,0.0199747
199,0.770089,0.643832,-0.406792,0.0111145
200,0.865892,0.60112,-0.332887,0.014929
201,0.917996,0.599611,-0.317444,0.017251
202,0.844605,0.621888,-0.384472,0.0155007
203,0.878714,0.680246,-0.356848,0.025163
204,0.830207,0.735421,-0.312949,0.0277069
205,0.798827,0.761195,-0.297574,0.0331909
206,0.765732,0.786515,-0.2658,0.032429
207,0.722457,0.851316,-0.216586,0.0366825
208,0.722457,0.851316,-0.212112,0.0318335
