Step,Mu,Sigma,Hamiltonian,Error
580,0.880026,0.637357,-0.32826,0.026545
581,0.880026,0.637357,-0.316941,0.042034
582,0.880026,0.637357,-0.34021,0.0247954
583,0.880026,0.637357,-0.349165,0.0193789
584,0.880026,0.637357,-0.39093,0.0141589
585,0.880026,0.637357,-0.356733,0.0199324
586,0.801464,0.730893,-0.326908,0.0265923
587,0.717457,0.655455,-0.379016,0.00956971
588,0.717457,0.655455,-0.350336,0.0177929
589,0.815884,0.631354,-0.397669,0.0163234
590,0.815884,0.631354,-0.375252,0.0203943
591,0.815884,0.631354,-0.387221,0.021842
592,0.815884,0.631354,-0.404126,0.0101223
593,0.815884,0.631354,-0.387532,0.0144646
594,0.815884,0.631354,-0.397303,0.0177454
595,0.815884,0.631354,-0.383703,0.0163562
596,0.815884,0.631354,-0.403168,0.011492
597,0.815884,0.631354,-0.426697,0.00750887
598,0.815884,0.631354,-0.411656,0.0106975
599,0.815884,0.631354,-0.369766,0.0192455
600,0.753663,0.616448,-0.384129,0.0146569
601,0.728282,0.644998,-0.378965,0.009467
602,0.728282,0.644998,-0.364209,0.0163731
603,0.792721,0.620346,-0.392961,0.0133677
604,0.792721,0.620346,-0.372695,0.0235916
605,0.792721,0.620346,-0.395451,0.0110972
606,0.792721,0.620346,-0.396852,0.0136407
607,0.792721,0.620346,-0.380579,0.0304428
608,0.780235,0.596111,-0.373266,0.0123292
609,0.845837,0.608761,-0.336901,0.0202912
610,0.845837,0.608761,-0.380334,0.0156652
611,0.845837,0.608761,-0.388237,0.0114115
612,0.845837,0.608761,-0.375375,0.0164243
613,0.856269,0.661423,-0.363324,0.0196187
614,0.800677,0.696222,-0.333295,0.025763
615,0.701153,0.609222,-0.376767,0.00800979
616,0.704997,0.664947,-0.315453,0.0233806
617,0.738632,0.594991,-0.38866,0.00774031
618,0.738632,0.594991,-0.380131,0.00974996
619,0.738632,0.594991,-0.383914,0.00689552
620,0.738632,0.594991,-0.352927,0.0147462
621,0.738632,0.594991,-0.374777,0.00799933
622,0.738632,0.594991,-0.367271,0.00803663
623,0.738632,0.594991,-0.370746,0.01025
624,0.738632,0.594991,-0.376847,0.00690561
625,0.738632,0.594991,-0.382448,0.00716864
626,0.738632,0.594991,-0.374298,0.01261
627,0.738632,0.594991,-0.395468,0.00885536
628,0.738632,0.594991,-0.365958,0.0119171
629,0.738632,0.594991,-0.373883,0.00893765
630,0.774425,0.670291,-0.356159,0.0237877
631,0.738518,0.580041,-0.365661,0.00799566
632,0.738518,0.580041,-0.370253,0.00889778
633,0.738518,0.580041,-0.34317,0.00918862
634,0.738518,0.580041,-0.370431,0.0070136
635,0.738518,0.580041,-0.367465,0.00807827
636,0.738518,0.580041,-0.362231,0.00718507
637,0.758291,0.601909,-0.369125,0.0130813
638,0.758291,0.601909,-0.387165,0.0078441
639,0.758291,0.601909,-0.371149,0.0134857
640,0.758291,0.601909,-0.354782,0.0295323
641,0.758291,0.601909,-0.387286,0.00688998
642,0.758291,0.601909,-0.384893,0.0138669
643,0.758291,0.601909,-0.385303,0.0106743
644,0.843822,0.624715,-0.377715,0.0149053
645,0.843822,0.624715,-0.363059,0.0176912
646,0.843822,0.624715,-0.39544,0.0134048
647,0.843822,0.624715,-0.363965,0.0287268
648,0.800657,0.596356,-0.375716,0.0112203
649,0.800657,0.596356,-0.370667,0.0134277
650,0.833657,0.633063,-0.376605,0.0200127
651,0.833657,0.633063,-0.357719,0.0189913
652,0.833657,0.633063,-0.395778,0.0134005
653,0.833657,0.633063,-0.385422,0.0148622
654,0.833657,0.633063,-0.419667,0.00895005
655,0.833657,0.633063,-0.412124,0.0109009
656,0.833657,0.633063,-0.39032,0.0187887
657,0.833657,0.633063,-0.398594,0.0121248
658,0.833657,0.633063,-0.380813,0.0203768
659,0.833657,0.633063,-0.401774,0.0120428
660,0.833657,0.633063,-0.411485,0.00895287
661,0.833657,0.633063,-0.371612,0.0180405
662,0.833657,0.633063,-0.394104,0.0146115
663,0.833657,0.633063,-0.387851,0.0114176
664,0.833657,0.633063,-0.363078,0.0240258
665,0.833657,0.633063,-0.401668,0.0121483
666,0.833657,0.633063,-0.367827,0.0248824
667,0.833657,0.633063,-0.408451,0.0189293
668,0.833657,0.633063,-0.369548,0.0220918
669,0.833657,0.633063,-0.404348,0.0129743
670,0.77992,0.641505,-0.40812,0.0104908
671,0.77992,0.641505,-0.416356,0.0099895
672,0.77992,0.641505,-0.382112,0.0141009
673,0.77992,0.641505,-0.408578,0.0171423
674,0.77992,0.641505,-0.39736,0.011075
675,0.77992,0.641505,-0.405806,0.01146
676,0.77992,0.641505,-0.405364,0.0101301
677,0.77992,0.641505,-0.417564,0.00840085
678,0.77992,0.641505,-0.398998,0.0171786
679,0.77992,0.641505,-0.352139,0.0249179
680,0.77992,0.641505,-0.413489,0.0108457
681,0.77992,0.641505,-0.36568,0.0273955
682,0.808485,0.637005,-0.388849,0.0203288
683,0.808485,0.637005,-0.404254,0.0122818
684,0.808485,0.637005,-0.402735,0.0137976
685,0.808485,0.637005,-0.411928,0.00916433
686,0.808485,0.637005,-0.32697,0.0319161
687,0.808485,0.637005,-0.394978,0.0167531
688,0.778347,0.598535,-0.38812,0.00921337
689,0.778347,0.598535,-0.382542,0.0122881
690,0.778347,0.598535,-0.368831,0.0134026
691,0.778347,0.598535,-0.38077,0.0140195
692,0.778347,0.598535,-0.384416,0.00762099
693,0.778347,0.598535,-0.372949,0.0156203
694,0.778347,0.598535,-0.38909,0.0113744
695,0.778347,0.598535,-0.402159,0.00683631
696,0.778347,0.598535,-0.362659,0.0155606
697,0.778347,0.598535,-0.389133,0.00777971
698,0.755791,0.603402,-0.389327,0.00825477
699,0.755791,0.603402,-0.400603,0.00806701
