#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168    0.540182    0.878616   0.0322954
         169    0.543897    0.876635   0.0321649
         170    0.547575      0.8747   0.0320339
         171    0.551212    0.872808   0.0319024
         172    0.554803    0.870959   0.0317705
         173    0.558347    0.869152   0.0316382
         174     0.56184    0.867386   0.0315056
         175    0.565279     0.86566   0.0313728
         176    0.568661    0.863972   0.0312399
         177    0.571985    0.862323   0.0311069
         178    0.575246     0.86071    0.030974
         179    0.578445    0.859133    0.030841
         180    0.581579    0.857591   0.0307082
         181    0.584646    0.856083   0.0305756
         182    0.587645    0.854608   0.0304431
         183    0.590574    0.853165   0.0303109
         184    0.593434    0.851754   0.0301791
         185    0.596223    0.850372   0.0300475
         186     0.59894    0.849021   0.0299164
         187    0.601586    0.847697   0.0297856
         188    0.604159    0.846402   0.0296553
         189    0.606661    0.845133   0.0295256
         190    0.609089    0.843891   0.0293963
         191    0.611445    0.842674   0.0292676
         192    0.613729    0.841482   0.0291394
         193    0.615942    0.840313   0.0290118
         194    0.618084    0.839168   0.0288849
         195    0.620155    0.838044   0.0287586
         196    0.622157    0.836943    0.028633
         197    0.624091    0.835863    0.028508
         198    0.625957    0.834802   0.0283837
         199    0.627758    0.833762   0.0282602
         200    0.629493    0.832741   0.0281373
         201    0.631166    0.831738   0.0280152
         202    0.632777    0.830753   0.0278938
         203    0.634328    0.829785   0.0277732
         204    0.635819    0.828834   0.0276533
         205    0.637253      0.8279   0.0275342
         206    0.638632    0.826981   0.0274159
         207    0.639956    0.826078   0.0272983
         208    0.641228    0.825189   0.0271815
         209    0.642451    0.824315   0.0270655
         210    0.643626    0.823454   0.0269503
         211    0.644754    0.822607   0.0268359
         212    0.645839    0.821773   0.0267223
         213    0.646882    0.820952   0.0266094
         214    0.647885    0.820144   0.0264974
         215    0.648849    0.819347   0.0263861
         216    0.649779    0.818562   0.0262756
         217    0.650674    0.817788   0.0261659
         218    0.651537    0.817025    0.026057
         219     0.65237    0.816274   0.0259489
         220    0.653176    0.815532   0.0258415
         221    0.653957    0.814801   0.0257349
         222    0.654715     0.81408   0.0256291
         223     0.65545    0.813369    0.025524
         224    0.656166    0.812667   0.0254197
         225    0.656863    0.811974   0.0253162
         226    0.657544    0.811291   0.0252134
         227    0.658211    0.810617   0.0251113
         228    0.658864    0.809951     0.02501
         229    0.659507    0.809294   0.0249094
         230    0.660141    0.808646   0.0248096
         231    0.660766    0.808006   0.0247104
         232    0.661386    0.807374    0.024612
         233       0.662     0.80675   0.0245143
         234    0.662612    0.806134   0.0244172
         235    0.663223    0.805526   0.0243209
         236    0.663833    0.804925   0.0242253
         237    0.664444    0.804332   0.0241303
         238    0.665057    0.803747    0.024036
         239    0.665674     0.80317   0.0239424
         240    0.666296    0.802599   0.0238494
         241    0.666924    0.802036   0.0237571
         242    0.667559    0.801481   0.0236654
         243    0.668204    0.800932   0.0235744
         244    0.668858    0.800391    0.023484
         245    0.669523    0.799857   0.0233942
         246      0.6702     0.79933    0.023305
         247    0.670888     0.79881   0.0232165
         248     0.67159    0.798297   0.0231285
         249    0.672307    0.797791   0.0230412
         250     0.67304    0.797292   0.0229544
         251    0.673788      0.7968   0.0228682
         252    0.674553    0.796314   0.0227826
         253    0.675336    0.795836   0.0226976
         254    0.676137    0.795365   0.0226131
         255    0.676956    0.794901   0.0225292
         256    0.677796    0.794443   0.0224459
         257    0.678656    0.793993    0.022363
         258    0.679536    0.793549   0.0222808
         259    0.680438    0.793112    0.022199
         260    0.681362    0.792683   0.0221178
         261    0.682309     0.79226   0.0220371
         262    0.683278    0.791844   0.0219569
         263    0.684272    0.791435   0.0218772
         264     0.68529    0.791033   0.0217981
         265    0.686333    0.790638   0.0217194
         266    0.687401    0.790249   0.0216412
         267    0.688495    0.789868   0.0215635
         268    0.689613    0.789494   0.0214863
         269    0.690755    0.789127   0.0214096
         270    0.691924    0.788767   0.0213333
         271    0.693117    0.788414   0.0212575
         272    0.694336    0.788068   0.0211821
         273    0.695581     0.78773   0.0211073
         274    0.696851    0.787398   0.0210328
         275    0.698147    0.787073   0.0209589
         276    0.699467    0.786756   0.0208853
         277    0.700814    0.786446   0.0208122
         278    0.702186    0.786143   0.0207396
         279    0.703583    0.785847   0.0206673
         280    0.705004    0.785558   0.0205955
         281     0.70645    0.785276   0.0205242
         282    0.707919    0.785002   0.0204532
         283    0.709411    0.784735   0.0203827
         284    0.710925    0.784475   0.0203126
         285    0.712461    0.784222   0.0202429
         286    0.714018    0.783977   0.0201736
         287    0.715595    0.783739   0.0201047
         288    0.717192    0.783508   0.0200362
         289    0.718809    0.783284   0.0199682
         290    0.720445    0.783067   0.0199005
         291      0.7221    0.782858   0.0198332
         292    0.723771    0.782655   0.0197663
         293    0.725458     0.78246   0.0196998
         294     0.72716    0.782272   0.0196337
         295    0.728876    0.782091    0.019568
         296    0.730605    0.781917   0.0195026
         297    0.732347     0.78175   0.0194377
         298    0.734099     0.78159   0.0193731
         299    0.735862    0.781437   0.0193089
         300    0.737633    0.781291   0.0192451
         301    0.739411    0.781152   0.0191817
         302    0.741197     0.78102   0.0191186
         303    0.742989    0.780894   0.0190559
         304    0.744786    0.780775   0.0189936
         305    0.746585    0.780663   0.0189317
         306    0.748387    0.780558   0.0188701
         307    0.750189    0.780459   0.0188089
         308    0.751993    0.780367   0.0187481
         309    0.753796    0.780281   0.0186876
         310    0.755597    0.780201   0.0186275
         311    0.757395    0.780128   0.0185677
         312    0.759188     0.78006   0.0185083
         313    0.760975    0.779999   0.0184493
         314    0.762756    0.779945   0.0183906
         315     0.76453    0.779896   0.0183323
         316    0.766295    0.779853   0.0182743
         317     0.76805    0.779815   0.0182167
         318    0.769795    0.779784   0.0181595
         319    0.771528    0.779758   0.0181026
         320    0.773248    0.779738    0.018046
         321    0.774955    0.779723   0.0179898
         322    0.776648    0.779713   0.0179339
         323    0.778324    0.779709   0.0178784
         324    0.779982     0.77971   0.0178232
         325    0.781624    0.779716   0.0177684
         326    0.783247    0.779726   0.0177139
         327    0.784851    0.779742   0.0176597
         328    0.786433    0.779763   0.0176059
         329    0.787994    0.779788   0.0175524
         330    0.789532    0.779817   0.0174992
         331    0.791047    0.779851   0.0174464
         332    0.792538    0.779889   0.0173939
         333    0.794002    0.779932   0.0173417
         334     0.79544    0.779978   0.0172898
         335    0.796852    0.780028   0.0172383
         336    0.798235    0.780083   0.0171871
         337     0.79959     0.78014   0.0171362
         338    0.800917    0.780202   0.0170856
         339    0.802214    0.780267   0.0170353
         340     0.80348    0.780335   0.0169854
         341    0.804715    0.780407   0.0169357
         342    0.805917    0.780481   0.0168863
         343    0.807087    0.780559   0.0168373
         344    0.808223    0.780639   0.0167885
         345    0.809327    0.780722   0.0167401
         346    0.810396    0.780808   0.0166919
         347    0.811431    0.780896    0.016644
         348     0.81243    0.780987   0.0165965
         349    0.813395     0.78108   0.0165492
         350    0.814325    0.781175   0.0165022
         351    0.815219    0.781272   0.0164554
         352    0.816077    0.781371    0.016409
         353    0.816898    0.781471   0.0163628
         354    0.817682    0.781574   0.0163169
         355     0.81843    0.781677   0.0162713
         356    0.819141    0.781783   0.0162259
         357    0.819814    0.781889   0.0161808
         358     0.82045    0.781997    0.016136
         359     0.82105    0.782106   0.0160914
         360    0.821612    0.782215   0.0160471
         361    0.822137    0.782326    0.016003
         362    0.822625    0.782437   0.0159592
         363    0.823075    0.782549   0.0159156
         364    0.823489    0.782662   0.0158723
         365    0.823866    0.782775   0.0158292
         366    0.824207    0.782888   0.0157863
         367    0.824511    0.783001   0.0157437
         368    0.824778    0.783115   0.0157014
         369     0.82501    0.783228   0.0156592
         370    0.825208    0.783342   0.0156173
         371    0.825371    0.783455   0.0155756
         372    0.825499    0.783568   0.0155342
         373    0.825593    0.783681   0.0154929
         374    0.825654    0.783793   0.0154519
         375    0.825681    0.783905   0.0154111
         376    0.825676    0.784016   0.0153705
         377    0.825639    0.784126   0.0153301
         378    0.825572    0.784236     0.01529
         379    0.825472    0.784345     0.01525
         380    0.825342    0.784453   0.0152103
         381    0.825181    0.784559   0.0151707
         382    0.824991    0.784665   0.0151314
         383     0.82477     0.78477   0.0150922
         384    0.824521    0.784874   0.0150533
         385    0.824243    0.784976   0.0150145
         386    0.823937    0.785077    0.014976
         387    0.823604    0.785176   0.0149376
         388    0.823245    0.785274   0.0148994
         389    0.822858    0.785371   0.0148614
         390    0.822444    0.785466   0.0148236
         391    0.822004     0.78556    0.014786
         392    0.821538    0.785651   0.0147486
         393    0.821047    0.785741   0.0147113
         394    0.820531     0.78583   0.0146743
         395     0.81999    0.785916   0.0146374
         396    0.819426    0.786001   0.0146007
         397    0.818839    0.786083   0.0145641
         398    0.818228    0.786164   0.0145277
         399    0.817595    0.786243   0.0144915
         400    0.816939     0.78632   0.0144555
         401    0.816263    0.786394   0.0144197
         402    0.815566    0.786467    0.014384
         403    0.814847    0.786537   0.0143485
         404    0.814108    0.786606   0.0143131
         405    0.813348    0.786672   0.0142779
         406    0.812568    0.786735   0.0142429
         407    0.811768    0.786797    0.014208
         408    0.810949    0.786856   0.0141733
         409     0.81011    0.786913   0.0141388
         410    0.809253    0.786968   0.0141044
         411     0.80838     0.78702   0.0140702
         412     0.80749    0.787069   0.0140361
         413    0.806584    0.787117   0.0140022
         414     0.80566    0.787161   0.0139685
         415    0.804721    0.787204   0.0139349
         416    0.803765    0.787243   0.0139014
         417    0.802794    0.787281   0.0138681
         418    0.801807    0.787316    0.013835
         419    0.800806    0.787348    0.013802
         420     0.79979    0.787377   0.0137692
         421    0.798761    0.787404   0.0137365
         422    0.797717    0.787429    0.013704
         423     0.79666    0.787451   0.0136716
         424     0.79559     0.78747   0.0136394
         425    0.794507    0.787486   0.0136073
         426    0.793411      0.7875   0.0135754
         427    0.792302    0.787512   0.0135436
         428    0.791182     0.78752   0.0135119
         429    0.790053    0.787526   0.0134804
         430    0.788915    0.787529   0.0134491
         431    0.787768     0.78753   0.0134179
         432     0.78661    0.787528   0.0133868
         433    0.785444    0.787523   0.0133559
         434     0.78427    0.787515   0.0133251
         435    0.783088    0.787505   0.0132945
         436    0.781898    0.787492    0.013264
         437    0.780703    0.787477   0.0132337
         438    0.779502    0.787459   0.0132035
         439    0.778296    0.787438   0.0131734
         440    0.777087    0.787414   0.0131435
         441    0.775875    0.787388   0.0131137
         442    0.774659    0.787359   0.0130841
         443    0.773442    0.787328   0.0130546
         444    0.772223    0.787294   0.0130252
         445    0.771003    0.787257    0.012996
         446    0.769783    0.787218   0.0129669
         447    0.768565    0.787176    0.012938
         448    0.767349    0.787132   0.0129092
         449    0.766137    0.787085   0.0128805
         450    0.764928    0.787036    0.012852
         451    0.763723    0.786984   0.0128236
         452    0.762524     0.78693   0.0127953
         453    0.761332    0.786874   0.0127672
         454    0.760148    0.786815   0.0127392
         455    0.758972    0.786754   0.0127114
         456    0.757804     0.78669   0.0126837
         457    0.756647    0.786624   0.0126561
         458      0.7555    0.786556   0.0126286
         459    0.754365    0.786486   0.0126013
         460    0.753243    0.786414   0.0125741
         461    0.752137     0.78634   0.0125471
         462    0.751045    0.786263   0.0125201
         463    0.749969    0.786185   0.0124933
         464    0.748909    0.786105   0.0124667
         465    0.747867    0.786022   0.0124401
         466    0.746842    0.785938   0.0124137
         467    0.745837    0.785852   0.0123874
         468    0.744852    0.785765   0.0123613
         469    0.743888    0.785676   0.0123353
         470    0.742946    0.785585   0.0123093
         471    0.742027    0.785492   0.0122836
         472    0.741131    0.785398   0.0122579
         473    0.740259    0.785303   0.0122323
         474    0.739411    0.785206   0.0122069
         475    0.738588    0.785108   0.0121816
