#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.487065    0.487065           0
           2    0.449313    0.468189   0.0133477
           3    0.432605    0.456328    0.013152
           4    0.456694    0.456419  0.00986432
           5    0.432912    0.451718  0.00894192
           6    0.426208    0.447466  0.00840177
           7    0.435726    0.445789  0.00736701
           8    0.437233     0.44472   0.0065233
           9     0.43305    0.443423  0.00592595
          10    0.422856    0.441366  0.00567905
