#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168    0.530987    0.866879   0.0319229
         169     0.53468    0.864914   0.0317944
         170    0.538338    0.862993   0.0316654
         171    0.541957    0.861115   0.0315358
         172    0.545533    0.859281   0.0314058
         173    0.549063    0.857487   0.0312754
         174    0.552545    0.855735   0.0311447
         175    0.555975    0.854022   0.0310138
         176     0.55935    0.852348   0.0308828
         177    0.562668    0.850711   0.0307516
         178    0.565927    0.849111   0.0306205
         179    0.569124    0.847547   0.0304893
         180    0.572259    0.846018   0.0303583
         181    0.575328    0.844522   0.0302274
         182    0.578331     0.84306   0.0300966
         183    0.581266    0.841629   0.0299662
         184    0.584132     0.84023    0.029836
         185     0.58693     0.83886   0.0297061
         186    0.589657    0.837521   0.0295766
         187    0.592314    0.836209   0.0294475
         188      0.5949    0.834926   0.0293188
         189    0.597415    0.833669   0.0291906
         190    0.599858    0.832438   0.0290629
         191     0.60223    0.831233   0.0289357
         192     0.60453    0.830052   0.0288091
         193     0.60676    0.828895    0.028683
         194    0.608919    0.827762   0.0285576
         195    0.611009     0.82665   0.0284328
         196    0.613031     0.82556   0.0283086
         197    0.614984    0.824491    0.028185
         198    0.616871    0.823443   0.0280622
         199    0.618692    0.822414     0.02794
         200    0.620449    0.821404   0.0278186
         201    0.622142    0.820413   0.0276978
         202    0.623775    0.819439   0.0275778
         203    0.625346    0.818483   0.0274585
         204    0.626859    0.817544     0.02734
         205    0.628314    0.816621   0.0272222
         206    0.629713    0.815713   0.0271052
         207    0.631058    0.814821   0.0269889
         208    0.632351    0.813944   0.0268734
         209    0.633593    0.813081   0.0267587
         210    0.634787    0.812232   0.0266447
         211    0.635935    0.811396   0.0265315
         212    0.637038    0.810574   0.0264191
         213    0.638099    0.809764   0.0263075
         214    0.639119    0.808967   0.0261967
         215      0.6401    0.808181   0.0260866
         216    0.641044    0.807408   0.0259773
         217    0.641954    0.806645   0.0258688
         218    0.642831    0.805894    0.025761
         219    0.643678    0.805153    0.025654
         220    0.644495    0.804423   0.0255478
         221    0.645287    0.803703   0.0254424
         222    0.646054    0.802993   0.0253377
         223    0.646799    0.802292   0.0252337
         224    0.647522    0.801601   0.0251305
         225    0.648227     0.80092   0.0250281
         226    0.648914    0.800247   0.0249264
         227    0.649585    0.799583   0.0248254
         228    0.650242    0.798928   0.0247252
         229    0.650888    0.798282   0.0246256
         230    0.651524    0.797644   0.0245268
         231     0.65215    0.797014   0.0244287
         232     0.65277    0.796392   0.0243314
         233    0.653383    0.795778   0.0242347
         234    0.653993    0.795172   0.0241387
         235      0.6546    0.794574   0.0240434
         236    0.655205    0.793984   0.0239487
         237    0.655811    0.793401   0.0238548
         238    0.656418    0.792825   0.0237615
         239    0.657027    0.792257   0.0236689
         240     0.65764    0.791696   0.0235769
         241    0.658259    0.791142   0.0234856
         242    0.658885    0.790596   0.0233949
         243    0.659519    0.790056   0.0233048
         244    0.660161    0.789524   0.0232154
         245    0.660813    0.788999   0.0231266
         246    0.661477     0.78848   0.0230384
         247    0.662151    0.787969   0.0229508
         248    0.662837    0.787464   0.0228638
         249    0.663538    0.786967   0.0227774
         250    0.664253    0.786476   0.0226915
         251    0.664983    0.785992   0.0226063
         252     0.66573    0.785514   0.0225216
         253    0.666493    0.785044   0.0224375
         254    0.667274     0.78458    0.022354
         255    0.668073    0.784124    0.022271
         256    0.668892    0.783673   0.0221885
         257     0.66973     0.78323   0.0221066
         258    0.670588    0.782793   0.0220253
         259    0.671466    0.782364   0.0219444
         260    0.672366    0.781941   0.0218641
         261    0.673288    0.781524   0.0217843
         262    0.674231    0.781115    0.021705
         263    0.675198    0.780712   0.0216262
         264    0.676189    0.780316   0.0215479
         265    0.677204    0.779927   0.0214701
