#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         146      1.2724     1.75511   0.0173164
         147     1.26359     1.75177   0.0175184
         148     1.25488     1.74841   0.0177189
         149     1.24625     1.74504   0.0179176
         150     1.23772     1.74166   0.0181145
         151     1.22928     1.73826   0.0183096
         152     1.22094     1.73486   0.0185028
         153     1.21272     1.73145   0.0186939
         154      1.2046     1.72803    0.018883
         155     1.19659      1.7246   0.0190699
         156      1.1887     1.72116   0.0192546
         157     1.18093     1.71772   0.0194369
         158     1.17329     1.71427    0.019617
         159     1.16578     1.71083   0.0197946
         160      1.1584     1.70737   0.0199697
         161     1.15116     1.70392   0.0201423
         162     1.14406     1.70046   0.0203123
         163      1.1371     1.69701   0.0204796
         164     1.13029     1.69355   0.0206442
         165     1.12363      1.6901    0.020806
         166     1.11713     1.68664   0.0209651
         167     1.11078      1.6832   0.0211212
         168      1.1046     1.67975   0.0212744
         169     1.09858     1.67631   0.0214247
         170     1.09273     1.67288   0.0215719
         171     1.08705     1.66945   0.0217161
         172     1.08154     1.66604   0.0218572
         173     1.07621     1.66263   0.0219951
         174     1.07107     1.65923   0.0221299
         175      1.0661     1.65584   0.0222615
         176     1.06132     1.65246   0.0223898
         177     1.05673     1.64909   0.0225149
         178     1.05232     1.64574   0.0226366
         179     1.04811      1.6424   0.0227551
         180     1.04408     1.63908   0.0228701
         181     1.04025     1.63577   0.0229818
         182     1.03662     1.63248   0.0230902
         183     1.03318      1.6292   0.0231951
         184     1.02994     1.62595   0.0232965
         185     1.02689     1.62271   0.0233946
         186     1.02404     1.61949   0.0234892
         187     1.02138     1.61629   0.0235803
         188     1.01892     1.61311    0.023668
         189     1.01665     1.60996   0.0237522
         190     1.01458     1.60682    0.023833
         191     1.01269     1.60371   0.0239104
         192     1.01099     1.60063   0.0239843
         193     1.00947     1.59756   0.0240548
         194     1.00814     1.59453    0.024122
         195     1.00698     1.59151   0.0241857
         196     1.00599     1.58852   0.0242461
         197     1.00518     1.58556   0.0243032
         198     1.00453     1.58263   0.0243569
         199     1.00405     1.57972   0.0244075
         200     1.00371     1.57684   0.0244547
         201     1.00353     1.57399   0.0244989
         202      1.0035     1.57117   0.0245398
         203      1.0036     1.56837   0.0245777
         204     1.00383      1.5656   0.0246125
         205     1.00419     1.56286   0.0246443
         206     1.00467     1.56015   0.0246732
         207     1.00526     1.55747   0.0246992
         208     1.00596     1.55482   0.0247224
         209     1.00675      1.5522   0.0247428
         210     1.00765     1.54961   0.0247605
         211     1.00862     1.54704   0.0247755
         212     1.00968     1.54451    0.024788
         213     1.01081       1.542   0.0247979
         214       1.012     1.53953   0.0248054
         215     1.01326     1.53708   0.0248105
         216     1.01456     1.53466   0.0248133
         217     1.01592     1.53227   0.0248138
         218     1.01731     1.52991   0.0248122
         219     1.01874     1.52757   0.0248084
         220      1.0202     1.52527   0.0248026
         221     1.02168     1.52299   0.0247949
         222     1.02317     1.52074   0.0247852
         223     1.02468     1.51851   0.0247736
         224      1.0262     1.51631   0.0247604
         225     1.02772     1.51414   0.0247453
         226     1.02923       1.512   0.0247287
         227     1.03075     1.50988   0.0247105
         228     1.03225     1.50778   0.0246907
         229     1.03374     1.50571   0.0246695
         230     1.03522     1.50367   0.0246469
         231     1.03667     1.50164    0.024623
         232     1.03811     1.49965   0.0245978
         233     1.03952     1.49767   0.0245714
         234      1.0409     1.49572   0.0245438
         235     1.04226     1.49379   0.0245151
         236     1.04358     1.49188   0.0244853
         237     1.04488        1.49   0.0244545
         238     1.04614     1.48813   0.0244228
         239     1.04737     1.48629   0.0243901
         240     1.04857     1.48446   0.0243566
         241     1.04973     1.48266   0.0243222
         242     1.05086     1.48087   0.0242871
         243     1.05195     1.47911   0.0242512
         244     1.05301     1.47736   0.0242146
         245     1.05403     1.47564   0.0241773
         246     1.05502     1.47393   0.0241394
         247     1.05598     1.47223    0.024101
         248      1.0569     1.47056   0.0240619
         249     1.05779      1.4689   0.0240223
         250     1.05864     1.46726   0.0239822
         251     1.05947     1.46564   0.0239416
         252     1.06027     1.46403   0.0239006
         253     1.06104     1.46243   0.0238591
         254     1.06178     1.46086   0.0238173
         255     1.06249     1.45929   0.0237751
         256     1.06318     1.45775   0.0237325
         257     1.06384     1.45621   0.0236896
         258     1.06448      1.4547   0.0236464
         259      1.0651     1.45319   0.0236029
         260      1.0657      1.4517   0.0235591
         261     1.06628     1.45022   0.0235151
         262     1.06684     1.44876   0.0234708
         263     1.06739     1.44731   0.0234263
         264     1.06792     1.44587   0.0233816
         265     1.06844     1.44445   0.0233367
         266     1.06894     1.44304   0.0232916
         267     1.06944     1.44164   0.0232464
         268     1.06992     1.44025    0.023201
         269     1.07039     1.43888   0.0231555
         270     1.07085     1.43751   0.0231098
         271     1.07131     1.43616    0.023064
         272     1.07176     1.43482   0.0230181
         273      1.0722     1.43349    0.022972
         274     1.07263     1.43218   0.0229259
         275     1.07306     1.43087   0.0228797
         276     1.07349     1.42958   0.0228334
         277     1.07391     1.42829   0.0227871
         278     1.07433     1.42702   0.0227406
         279     1.07474     1.42576   0.0226942
         280     1.07515      1.4245   0.0226476
         281     1.07555     1.42326   0.0226011
         282     1.07595     1.42203   0.0225544
         283     1.07635     1.42081   0.0225078
         284     1.07674      1.4196   0.0224611
         285     1.07713      1.4184   0.0224144
         286     1.07751      1.4172   0.0223677
         287     1.07789     1.41602    0.022321
         288     1.07827     1.41485   0.0222743
         289     1.07864     1.41369   0.0222276
         290       1.079     1.41253   0.0221809
         291     1.07936     1.41139   0.0221342
         292     1.07971     1.41025   0.0220875
         293     1.08006     1.40912   0.0220409
         294      1.0804     1.40801   0.0219942
         295     1.08073      1.4069   0.0219476
         296     1.08106      1.4058   0.0219011
         297     1.08138      1.4047   0.0218546
         298     1.08169     1.40362   0.0218081
         299       1.082     1.40254   0.0217617
         300     1.08229     1.40148   0.0217153
         301     1.08258     1.40042    0.021669
         302     1.08287     1.39937   0.0216227
         303     1.08314     1.39832   0.0215765
         304      1.0834     1.39729   0.0215304
         305     1.08366     1.39626   0.0214844
         306     1.08391     1.39524   0.0214384
         307     1.08415     1.39422   0.0213925
         308     1.08439     1.39322   0.0213467
         309     1.08461     1.39222   0.0213009
         310     1.08484     1.39123   0.0212553
         311     1.08505     1.39024   0.0212097
         312     1.08527     1.38927   0.0211643
         313     1.08547     1.38829   0.0211189
         314     1.08568     1.38733   0.0210736
         315     1.08588     1.38637   0.0210284
         316     1.08609     1.38542   0.0209833
         317     1.08629     1.38448   0.0209384
         318     1.08649     1.38354   0.0208935
         319      1.0867     1.38261   0.0208487
         320     1.08691     1.38169    0.020804
         321     1.08712     1.38077   0.0207594
         322     1.08734     1.37986   0.0207149
         323     1.08757     1.37895   0.0206706
         324      1.0878     1.37806   0.0206263
         325     1.08804     1.37716   0.0205821
         326     1.08829     1.37628    0.020538
         327     1.08855      1.3754   0.0204941
         328     1.08882     1.37452   0.0204502
         329      1.0891     1.37366   0.0204065
         330     1.08939      1.3728   0.0203628
         331     1.08969     1.37194   0.0203192
         332     1.09001     1.37109   0.0202758
         333     1.09034     1.37025   0.0202324
         334     1.09068     1.36941   0.0201891
         335     1.09103     1.36858   0.0201459
         336      1.0914     1.36775   0.0201029
         337     1.09178     1.36694   0.0200599
         338     1.09216     1.36612    0.020017
         339     1.09256     1.36532   0.0199742
         340     1.09297     1.36451   0.0199315
         341     1.09338     1.36372   0.0198889
         342      1.0938     1.36293   0.0198464
         343     1.09423     1.36215    0.019804
         344     1.09465     1.36137   0.0197617
         345     1.09509      1.3606   0.0197195
         346     1.09552     1.35983   0.0196774
         347     1.09595     1.35907   0.0196354
         348     1.09638     1.35832   0.0195935
         349      1.0968     1.35757   0.0195516
         350     1.09721     1.35682   0.0195099
